"store_number","name","latitude","longitude","full_address","address","city","state","zipcode","county","phone","hours","url","provider","updated_date","country","status","directions","stock_ticker"
"310","Crowley Supercenter","30.233198","-92.36465","729 Odd Fellows Rd, Crowley, LA, 70526","729 Odd Fellows Rd","Crowley","LA","70526","Acadia Parish","337-783-6387","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/310","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/729+Odd+Fellows+Rd,+Crowley,+LA,+70526,+USA/","WMT:NYSE"
"4378","Onley Supercenter","37.685542","-75.724009","26036 Lankford Hwy, Onley, VA, 23418","26036 Lankford Hwy","Onley","VA","23418","Accomack","757-302-4089","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/4378","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/26036+Lankford+Hwy,+Onley,+VA,+23418,+USA/","WMT:NYSE"
"5841","Meridian Supercenter","43.650236","-116.436338","5001 N Ten Mile Rd, Meridian, ID, 83646","5001 N Ten Mile Rd","Meridian","ID","83646","Ada","208-982-3045","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/5841","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/5001+N+Ten+Mile+Rd,+Meridian,+ID,+83646,+USA/","WMT:NYSE"
"3093","Meridian Supercenter","43.588905","-116.40247","795 West Overland Road, Meridian, ID, 83642","795 West Overland Road","Meridian","ID","83642","Ada","208-917-6902","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/3093","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/795+West+Overland+Road,+Meridian,+ID,+83642,+USA/","WMT:NYSE"
"2861","Garden City Supercenter","43.66992","-116.283599","7319 W State St, Garden City, ID, 83714","7319 W State St","Garden City","ID","83714","Ada","208-853-0541","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2861","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/7319+W+State+St,+Garden+City,+ID,+83714,+USA/","WMT:NYSE"
"3094","Boise Neighborhood Market","43.6343486","-116.2760806","3233 N Cole Rd, Boise, ID, 83704","3233 N Cole Rd","Boise","ID","83704","Ada","208-501-7025","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/3094","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/3233+N+Cole+Rd,+Boise,+ID,+83704,+USA/","WMT:NYSE"
"2508","Boise Supercenter","43.592826","-116.284808","8300 W Overland Rd, Boise, ID, 83709","8300 W Overland Rd","Boise","ID","83709","Ada","208-321-9077","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2508","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/8300+W+Overland+Rd,+Boise,+ID,+83709,+USA/","WMT:NYSE"
"2862","Meridian Supercenter","43.618101","-116.343373","4051 E Fairview Ave, Meridian, ID, 83642","4051 E Fairview Ave","Meridian","ID","83642","Ada","208-373-7908","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2862","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/4051+E+Fairview+Ave,+Meridian,+ID,+83642,+USA/","WMT:NYSE"
"569","Columbia Supercenter","37.075612","-85.334473","2988 Burkesville Rd, Columbia, KY, 42728","2988 Burkesville Rd","Columbia","KY","42728","Adair","270-384-4745","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/569","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/2988+Burkesville+Rd,+Columbia,+KY,+42728,+USA/","WMT:NYSE"
"189","Kirksville Supercenter","40.216711","-92.579522","2206 N Baltimore St, Kirksville, MO, 63501","2206 N Baltimore St","Kirksville","MO","63501","Adair","660-627-7100","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/189","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/2206+N+Baltimore+St,+Kirksville,+MO,+63501,+USA/","WMT:NYSE"
